"",,,,,,,,,,,,,,,,,,,,,,,
Beef,,,,,,,,,,,,,,,,,,,,,,,
"",Regular Fanta,156,664,0.4,38,35.2,0.4,0,0,0,0,0.120,5,5,5,5,5,5,5,4,5,5,5,5
"",Large Fanta,195,830,0.5,47.5,44,0.5,0,0,0.1,0,0.150,5,5,5,5,5,5,5,4,5,5,5,5
"",Super Fanta,292.5,1245,0.8,71.3,66,0.8,0,0,0.1,po0lyun,at0u.r2a2te5d,5,5,5,5,5,5,5,4,5,5,5,5
"",Kids Fanta,117,498,0.3,28.5,26.4,0.3,0,0,0,Fa0t (g),0.09,5,5,5,5,5,5,5,4,5,5,5,5
"",Regular Sprite,112,468,0,26.4,26.4,0,0,0,0,0,0,5,5,5,5,5,5,5,4,5,5,5,5
"",Large Sprite,140,585,0,33,33,0,0,0,0,Sa0tura,ed Fa0ts,5,5,5,5,5,5,5,4,5,5,5,5
"",Super Sprite,210,878,0,49.5,49.5,0,0,0,0,(g0),0,5,5,5,5,5,5,5,4,5,5,5,5
"",Kids Sprite,126,351,0,19.8,19.8,0,0,0,0,0,0,5,5,5,5,5,5,5,4,5,5,5,5
"",Tropicana,112.8,485,1.8,23.6,23.6,0,0,0,0,F1ib.3re (,")0",5,5,5,5,5,5,5,4,5,5,5,5
"",Alive,62.5,270,0,15.3,15.3,0,0,0,0,0,0,5,5,5,5,5,5,5,4,5,5,5,5
"",Milk,122.5,510,8.5,12.5,12.5,4.3,1.3,0,2.5,0,0.143,5,4,5,5,5,5,5,4,5,5,5,5
"",,,,,,,,,,,,,,,,,,,,,,,
Breakfast,,,,,,,,,,,,,,,,,,,,,,,
"Sausage, Egg & Cheese Butty with Heinz Ketchup",452,1883,23.7,37.4,6.7,23.2,9.7,2.9,9.5,2.5,0.689,5,4,4,4,4,5,5,5,4,5,4,5
Breakfast in BreadTM with Heinz Ketchup,579,2413,32.8,44.4,9.2,29.4,12.4,3.4,12.2,2.6,1.130,5,4,4,4,4,5,5,5,4,5,5,5
Sausage Butty with Heinz Ketchup,316,1318,15.6,34,5.7,13.3,5.9,2.3,4.3,2.1,0.316,5,5,4,5,5,5,5,5,4,5,4,5
Big BeefyTM with Heinz Ketchup,729,3046,43.2,53.7,12.1,37.3,16.1,2.7,16.5,3.5,1.362,5,4,4,4,4,5,5,5,4,5,4,5
"Bacon, Egg & Cheese Butty* with Heinz Ketchup",407.1,1707,18.6,47.8,8.2,16.2,7.2,1.8,6.5,2.8,1.025,5,4,4,4,4,5,5,5,4,5,5,5
Bacon Butty with Heinz Ketchup,216,1137,10.5,44.1,7.2,6.2,3.5,1.2,1.4,2.5,0.646,5,5,4,5,5,5,5,5,4,5,5,5
Egg & Cheese Butty with Heinz Ketchup,348,1456,16.3,41.5,7.6,12.4,5,1.4,5.4,2.2,0.749,5,4,4,4,4,5,5,4,4,5,5,5
Hash Browns*(Regular),192,1146,2.4,22.1,0.1,19.2,9.9,3.7,5.5,2.4,0.367,5,4,4,5,4,5,5,4,5,5,5,5
Hash Browns*(Large),245,1576,3.3,30.4,0.2,26.4,13.7,ne5.r1gy,kca7.l6),3.4,0.505,5,4,4,5,4,5,5,4,5,5,5,5
Mini-Pancakes & Syrup (6),268.5,1130,2.9,41.3,22,10.2,4.4,1.3,4.6,1,0.150,5,4,4,4,5,5,5,4,5,5,5,5
